ID,Date Category,Sk_Age,Site,Region,bone_d13C,bone_d15N,dentine_d13C,dentine_d15N,enamel_d13C,D13C_dent-bone,D15N_dent-bone,D13C_tooth_enamel_dent,E13Cenamel-dentinecoll,E13Cdent-bone,,
FING_6,B,M5,Finglesham,Kent and East Sussex,-20.31,8.60,-20.11,9.24,-13.59,0.20,0.64,6.52,6.65,0.206528688,,
FING_8,D,F5,Finglesham,Kent and East Sussex,-19.74,9.35,-19.96,9.54,-13.99,-0.22,0.19,5.97,6.09,-0.227490047,,
FING_15,B,M5,Finglesham,Kent and East Sussex,-20.89,9.45,-20.20,10.13,-14.18,0.69,0.67,6.02,6.14,0.708467015,,
FING_18,B/C,M4/5,Finglesham,Kent and East Sussex,,,-19.93,9.79,-12.75,,,7.18,7.32,-19.92566667,,
FING_21A,C/D,M4/5,Finglesham,Kent and East Sussex,-19.96,9.65,-19.53,9.72,-13.69,0.43,0.07,5.83,5.95,0.443519614,,
FING_21B,C/D,F4,Finglesham,Kent and East Sussex,-20.34,9.65,-20.36,11.68,-14.39,-0.01,2.03,5.97,6.09,-0.012589445,,
FING_26A,C/D,M4/5,Finglesham,Kent and East Sussex,-19.72,9.67,-19.38,10.26,-12.65,0.34,0.58,6.72,6.86,0.347178183,,
FING_30,B/C,M4,Finglesham,Kent and East Sussex,-20.33,8.77,-20.02,9.55,-13.65,0.32,0.78,6.37,6.50,0.322558693,,
FING_47B,C/D,F6,Finglesham,Kent and East Sussex,-19.76,9.32,-19.78,10.54,-13.54,-0.02,1.22,6.24,6.37,-0.021763437,,
FING_48,C/D,M4,Finglesham,Kent and East Sussex,-20.02,9.65,-19.91,10.55,-14.10,0.11,0.90,5.81,5.93,0.108165326,,
FING_57,C/D,F5,Finglesham,Kent and East Sussex,-20.09,8.98,-20.11,9.62,-14.40,-0.02,0.65,5.72,5.83,-0.02279124,,
FING_61,D,F4,Finglesham,Kent and East Sussex,-20.00,8.82,-19.83,9.12,-13.84,0.17,0.30,5.99,6.11,0.174490271,,
FING_62B,C/D,F4,Finglesham,Kent and East Sussex,-20.42,8.91,-20.21,12.63,-14.45,0.21,3.72,5.77,5.89,0.214718603,,
FING_63,C/D,F4,Finglesham,Kent and East Sussex,-20.19,10.01,-19.78,11.92,-13.91,0.42,1.91,5.87,5.99,0.424914048,,
FING_64,C/D,F5,Finglesham,Kent and East Sussex,-19.74,9.98,-19.70,11.22,-13.98,0.04,1.25,5.72,5.84,0.044886066,,
FING_72,D,M6,Finglesham,Kent and East Sussex,-19.76,9.01,-19.44,7.78,-12.94,0.32,-1.23,6.50,6.63,0.330191246,,
FING_73,D,M4,Finglesham,Kent and East Sussex,-20.12,9.11,-19.60,9.28,-12.86,0.52,0.16,6.74,6.88,0.52863616,,
FING_82,C,M4,Finglesham,Kent and East Sussex,-20.41,10.85,-19.95,11.90,-14.01,0.46,1.05,5.94,6.06,0.474689521,,
FING_84,C/D,F5,Finglesham,Kent and East Sussex,-20.08,9.20,-20.42,8.96,-13.79,-0.34,-0.24,6.63,6.76,-0.342545319,,
FING_105,D,M4/5,Finglesham,Kent and East Sussex,-19.95,9.45,-20.05,8.73,-12.90,-0.09,-0.72,7.15,7.29,-0.094553224,,
FING_113,C/D,F4/5,Finglesham,Kent and East Sussex,-20.10,10.46,-19.73,12.24,-14.02,0.37,1.78,5.71,5.83,0.377589807,,
FING_116,C/D,M4,Finglesham,Kent and East Sussex,,,-19.52,11.28,-15.34,,,4.18,4.26,,,
FING_121,C/D,F5/6,Finglesham,Kent and East Sussex,-19.94,9.44,-19.57,8.54,-13.18,0.37,-0.90,6.39,6.52,0.379228612,,
FING_123,C,M5,Finglesham,Kent and East Sussex,-20.13,9.74,-20.15,12.27,-13.37,-0.01,2.53,6.78,6.92,-0.013947466,,
FING_124,D,F5,Finglesham,Kent and East Sussex,-20.13,8.76,-20.08,8.92,-14.42,0.05,0.17,5.66,5.77,0.053408373,,
FING_125A,B/C,M5,Finglesham,Kent and East Sussex,-20.10,9.89,-20.39,11.32,-14.72,-0.29,1.43,5.67,5.79,-0.296968775,,
FING_129A,C/D,M4,Finglesham,Kent and East Sussex,-20.41,9.26,-20.26,9.08,-13.97,0.14,-0.18,6.29,6.42,0.145298389,,
FING_129B,B/C,M5,Finglesham,Kent and East Sussex,-19.83,10.12,-19.97,8.64,-13.24,-0.14,-1.48,6.73,6.87,-0.145552982,,
FING_135,B/C,M4,Finglesham,Kent and East Sussex,-20.10,8.44,-19.83,8.92,-13.35,0.27,0.48,6.48,6.61,0.275062455,,
FING_138,D,F4,Finglesham,Kent and East Sussex,-20.18,9.23,-20.06,10.27,-15.40,0.12,1.04,4.67,4.76,0.121111051,,
FING_144,D,M4,Finglesham,Kent and East Sussex,-19.98,9.56,-19.76,9.68,-14.15,0.23,0.12,5.61,5.72,0.231628793,,
FING_145A,E,M4,Finglesham,Kent and East Sussex,-20.05,9.08,-19.91,8.35,-13.96,0.14,-0.73,5.95,6.07,0.143544788,,
FING_150,C/D,F4,Finglesham,Kent and East Sussex,-20.19,8.46,-20.01,8.75,-15.02,0.18,0.29,4.99,5.09,0.180647391,,
FING_158,B/C,M5,Finglesham,Kent and East Sussex,-19.96,9.39,-19.66,10.43,-14.35,0.30,1.04,5.31,5.42,0.303388771,,
FING_165,C/D,M5,Finglesham,Kent and East Sussex,-20.35,9.30,-19.27,8.71,-13.87,1.07,-0.60,5.40,5.51,1.096646806,,
FING_175,C/D,F5,Finglesham,Kent and East Sussex,-20.37,9.57,-20.19,10.82,-15.14,0.18,1.25,5.05,5.16,0.183062063,,
FING_180,D,F5,Finglesham,Kent and East Sussex,-20.26,8.70,-19.99,9.45,-13.86,0.26,0.75,6.13,6.26,0.267757293,,
FING_193,D,M4,Finglesham,Kent and East Sussex,-20.20,8.60,-19.95,8.37,-14.04,0.25,-0.23,5.91,6.03,0.250731101,,
FING_199,D,M4,Finglesham,Kent and East Sussex,-19.94,10.06,-19.78,9.62,-13.17,0.16,-0.44,6.61,6.75,0.158833219,,
FING_208,C/D,M4,Finglesham,Kent and East Sussex,-19.94,10.57,-19.80,11.00,-13.11,0.15,0.43,6.69,6.82,0.149991531,,
HOLB_8,B/C,M4,Holborough,Kent and East Sussex,-19.53,10.19,-19.22,11.36,-13.29,0.30,1.17,5.94,6.05,0.309714145,,
HOLB_13,D,M4,Holborough,Kent and East Sussex,-20.22,9.41,-19.75,11.19,-15.18,0.48,1.77,4.57,4.66,0.485484953,,
HOLB_15,D,F4,Holborough,Kent and East Sussex,-19.98,9.23,-20.10,9.21,-14.35,-0.12,-0.02,5.75,5.87,-0.118705505,,
HOLB_18.1,D,F5,Holborough,Kent and East Sussex,-20.09,8.86,-19.56,9.21,-13.41,0.53,0.36,6.15,6.28,0.539165712,,
HOLB_19,D,F4,Holborough,Kent and East Sussex,-19.65,10.16,-19.53,11.15,-13.10,0.12,0.99,6.43,6.56,0.124445732,,
HOLB_21,D,F4,Holborough,Kent and East Sussex,-19.97,9.14,-19.83,8.74,-14.26,0.14,-0.40,5.58,5.69,0.13911153,,
HOLB_23,D,M4,Holborough,Kent and East Sussex,-19.68,11.25,-19.73,9.25,-13.29,-0.05,-2.00,6.44,6.57,-0.052363818,,
HOLB_24,D,M4,Holborough,Kent and East Sussex,-19.94,9.76,-19.64,10.29,-12.75,0.30,0.53,6.89,7.03,0.306784773,,
HOLB_25,D,M4,Holborough,Kent and East Sussex,-20.01,10.11,-19.76,10.62,-13.16,0.25,0.51,6.60,6.73,0.255784053,,
HOLB_28,D,F4,Holborough,Kent and East Sussex,-20.18,9.48,-19.69,9.54,-13.32,0.49,0.06,6.37,6.49,0.504174922,,
HOLB_30,D,F4,Holborough,Kent and East Sussex,-20.05,9.72,-19.69,10.09,-14.43,0.36,0.37,5.26,5.37,0.362602054,,
HOLB_32,D,F4,Holborough,Kent and East Sussex,-19.99,9.70,-19.97,9.33,-14.66,0.02,-0.37,5.31,5.42,0.01632632,,
HOLB_37,D,M5,Holborough,Kent and East Sussex,-20.09,10.15,-19.53,10.46,-13.83,0.56,0.31,5.69,5.81,0.573862421,,
KCC98_2,F/G,U5,Ketton Quarry,Central,-19.90,9.93,-19.53,9.67,-13.40,0.37,-0.26,6.13,6.25,0.376492451,,
KCC98_3,F/G,F5/6,Ketton Quarry,Central,-19.37,9.51,-19.32,9.03,-13.11,0.05,-0.47,6.21,6.34,0.050647868,,
KCC98_21,F/G,Adult,Ketton Quarry,Central,-19.49,8.81,-19.62,9.46,-13.12,-0.13,0.65,6.50,6.63,-0.129864699,,
KCC98_27,F/G,F5,Ketton Quarry,Central,-19.63,9.44,-19.32,9.16,-13.55,0.31,-0.28,5.77,5.88,0.314507322,,
KCC98_30,F/G,U3,Ketton Quarry,Central,-20.11,8.33,-20.06,8.79,-12.75,0.04,0.47,7.31,7.46,0.04524302,,
KCC98_35,F/G,U5,Ketton Quarry,Central,-20.01,8.91,-20.02,10.20,-13.60,-0.01,1.29,6.41,6.54,-0.009523871,,
KCC98_41,F/G,F5/6,Ketton Quarry,Central,-19.89,10.27,-19.49,10.45,-13.21,0.39,0.18,6.29,6.41,0.400293844,,
KCC98_43,F/G,M5,Ketton Quarry,Central,-19.59,9.77,-19.16,9.82,-13.32,0.43,0.05,5.85,5.96,0.438252322,,
KCC98_45,F/G,M5,Ketton Quarry,Central,-19.79,9.24,-19.35,9.62,-12.44,0.44,0.37,6.91,7.04,0.450925162,,
